,car_name,car_price,car_date,car_odometer,car_transmission,car_bodytype,car_engine
1212,2016 Ferrari California T Auto,"$299,900*",,"2,863 km",Automatic,Convertible,8cyl 3.9L Turbo Petrol
1213,2018 Ferrari 488 GTB Auto,"$535,000*",,160 km,Automatic,Coupe,8cyl 3.9L Turbo Petrol
1214,2017 Ferrari California T Auto,"$319,900*",,"8,703 km",Automatic,Convertible,8cyl 3.9L Turbo Petrol
1215,2018 Ferrari 812 Superfast Auto,"$699,900*",,"7,600 km",Automatic,Coupe,12cyl 6.5L Petrol
1216,2011 Ferrari California Auto,"$229,900 ",,"25,440 km",Automatic,Convertible,8cyl 4.3L Petrol
1217,2015 Ferrari 458 Speciale Auto,"$699,900*",,"7,086 km",Automatic,Coupe,8cyl 4.5L Petrol
1218,2012 Ferrari 458 Italia Auto,"$369,800*",,"39,980 km",Automatic,Coupe,8cyl 4.5L Petrol
1219,2013 Ferrari 458 Italia Auto,"$362,990*",,"11,600 km",Automatic,Coupe,8cyl 4.5L Petrol
1220,2012 Ferrari California Auto,"$219,900*",,"26,636 km",Automatic,Convertible,8cyl 4.3L Petrol
1221,2015 Ferrari 458 Speciale Auto,"$699,900*",,"2,559 km",Automatic,Coupe,8cyl 4.5L Petrol
1222,2016 Ferrari F12berlinetta Auto,"$569,900*",,"2,663 km",Automatic,Coupe,12cyl 6.3L Petrol
1223,1997 Ferrari F355 Berlinetta Manual,"$334,900 ",,"60,735 km",Manual,Coupe,8cyl 3.5L Petrol
1224,2016 Ferrari 488 GTB Auto,"$409,000*",,"2,900 km",Automatic,Coupe,8cyl 3.9L Turbo Petrol
1225,2007 Ferrari 599 Fiorano GTB Auto,"$269,000*",,"31,500 km",Automatic,Coupe,12cyl 6.0L Petrol
1226,1978 Ferrari 308 GTS Manual,"$105,000*",,"6,900 km",Manual,Coupe,8cyl 3.0L Petrol
1227,2013 Ferrari FF Auto 4RM,"$289,900*",,"12,898 km",Automatic,Hatch,12cyl 6.3L Petrol
1228,2008 Ferrari 599 Fiorano GTB Auto,"$339,000*",,"10,802 km",Automatic,Coupe,12cyl 6.0L Petrol
1229,2016 Ferrari California T Auto,"$299,900*",,"2,863 km",Automatic,Convertible,8cyl 3.9L Turbo Petrol
1230,2018 Ferrari 488 GTB Auto,"$535,000*",,160 km,Automatic,Coupe,8cyl 3.9L Turbo Petrol
1231,2017 Ferrari California T Auto,"$319,900*",,"8,703 km",Automatic,Convertible,8cyl 3.9L Turbo Petrol
1232,2018 Ferrari 812 Superfast Auto,"$699,900*",,"7,600 km",Automatic,Coupe,12cyl 6.5L Petrol
1233,2011 Ferrari California Auto,"$229,900 ",,"25,440 km",Automatic,Convertible,8cyl 4.3L Petrol
1234,2015 Ferrari 458 Speciale Auto,"$699,900*",,"7,086 km",Automatic,Coupe,8cyl 4.5L Petrol
1235,2012 Ferrari 458 Italia Auto,"$369,800*",,"39,980 km",Automatic,Coupe,8cyl 4.5L Petrol
1236,2013 Ferrari 458 Italia Auto,"$362,990*",,"11,600 km",Automatic,Coupe,8cyl 4.5L Petrol
1237,2012 Ferrari California Auto,"$219,900*",,"26,636 km",Automatic,Convertible,8cyl 4.3L Petrol
1238,2015 Ferrari 458 Speciale Auto,"$699,900*",,"2,559 km",Automatic,Coupe,8cyl 4.5L Petrol
1239,2016 Ferrari F12berlinetta Auto,"$569,900*",,"2,663 km",Automatic,Coupe,12cyl 6.3L Petrol
1240,1997 Ferrari F355 Berlinetta Manual,"$334,900 ",,"60,735 km",Manual,Coupe,8cyl 3.5L Petrol
1241,2016 Ferrari 488 GTB Auto,"$409,000*",,"2,900 km",Automatic,Coupe,8cyl 3.9L Turbo Petrol
1242,2007 Ferrari 599 Fiorano GTB Auto,"$269,000*",,"31,500 km",Automatic,Coupe,12cyl 6.0L Petrol
1243,1978 Ferrari 308 GTS Manual,"$105,000*",,"6,900 km",Manual,Coupe,8cyl 3.0L Petrol
1244,2013 Ferrari FF Auto 4RM,"$289,900*",,"12,898 km",Automatic,Hatch,12cyl 6.3L Petrol
1245,2008 Ferrari 599 Fiorano GTB Auto,"$339,000*",,"10,802 km",Automatic,Coupe,12cyl 6.0L Petrol
1246,2016 Ferrari California T Auto,"$299,900*",,"2,863 km",Automatic,Convertible,8cyl 3.9L Turbo Petrol
1247,2018 Ferrari 488 GTB Auto,"$535,000*",,160 km,Automatic,Coupe,8cyl 3.9L Turbo Petrol
1248,2017 Ferrari California T Auto,"$319,900*",,"8,703 km",Automatic,Convertible,8cyl 3.9L Turbo Petrol
1249,2018 Ferrari 812 Superfast Auto,"$699,900*",,"7,600 km",Automatic,Coupe,12cyl 6.5L Petrol
1250,2011 Ferrari California Auto,"$229,900 ",,"25,440 km",Automatic,Convertible,8cyl 4.3L Petrol
1251,2015 Ferrari 458 Speciale Auto,"$699,900*",,"7,086 km",Automatic,Coupe,8cyl 4.5L Petrol
1252,2012 Ferrari 458 Italia Auto,"$369,800*",,"39,980 km",Automatic,Coupe,8cyl 4.5L Petrol
1253,2013 Ferrari 458 Italia Auto,"$362,990*",,"11,600 km",Automatic,Coupe,8cyl 4.5L Petrol
1254,2012 Ferrari California Auto,"$219,900*",,"26,636 km",Automatic,Convertible,8cyl 4.3L Petrol
1255,2015 Ferrari 458 Speciale Auto,"$699,900*",,"2,559 km",Automatic,Coupe,8cyl 4.5L Petrol
1256,2016 Ferrari F12berlinetta Auto,"$569,900*",,"2,663 km",Automatic,Coupe,12cyl 6.3L Petrol
1257,1997 Ferrari F355 Berlinetta Manual,"$334,900 ",,"60,735 km",Manual,Coupe,8cyl 3.5L Petrol
1258,2016 Ferrari 488 GTB Auto,"$409,000*",,"2,900 km",Automatic,Coupe,8cyl 3.9L Turbo Petrol
1259,2007 Ferrari 599 Fiorano GTB Auto,"$269,000*",,"31,500 km",Automatic,Coupe,12cyl 6.0L Petrol
1260,1978 Ferrari 308 GTS Manual,"$105,000*",,"6,900 km",Manual,Coupe,8cyl 3.0L Petrol
1261,2013 Ferrari FF Auto 4RM,"$289,900*",,"12,898 km",Automatic,Hatch,12cyl 6.3L Petrol
1262,2008 Ferrari 599 Fiorano GTB Auto,"$339,000*",,"10,802 km",Automatic,Coupe,12cyl 6.0L Petrol
1263,2016 Ferrari California T Auto,"$299,900*",,"2,863 km",Automatic,Convertible,8cyl 3.9L Turbo Petrol
1264,2018 Ferrari 488 GTB Auto,"$535,000*",,160 km,Automatic,Coupe,8cyl 3.9L Turbo Petrol
1265,2017 Ferrari California T Auto,"$319,900*",,"8,703 km",Automatic,Convertible,8cyl 3.9L Turbo Petrol
1266,2018 Ferrari 812 Superfast Auto,"$699,900*",,"7,600 km",Automatic,Coupe,12cyl 6.5L Petrol
1267,2011 Ferrari California Auto,"$229,900 ",,"25,440 km",Automatic,Convertible,8cyl 4.3L Petrol
1268,2015 Ferrari 458 Speciale Auto,"$699,900*",,"7,086 km",Automatic,Coupe,8cyl 4.5L Petrol
1269,2012 Ferrari 458 Italia Auto,"$369,800*",,"39,980 km",Automatic,Coupe,8cyl 4.5L Petrol
1270,2013 Ferrari 458 Italia Auto,"$362,990*",,"11,600 km",Automatic,Coupe,8cyl 4.5L Petrol
1271,2012 Ferrari California Auto,"$219,900*",,"26,636 km",Automatic,Convertible,8cyl 4.3L Petrol
1272,2015 Ferrari 458 Speciale Auto,"$699,900*",,"2,559 km",Automatic,Coupe,8cyl 4.5L Petrol
1273,2016 Ferrari F12berlinetta Auto,"$569,900*",,"2,663 km",Automatic,Coupe,12cyl 6.3L Petrol
1274,1997 Ferrari F355 Berlinetta Manual,"$334,900 ",,"60,735 km",Manual,Coupe,8cyl 3.5L Petrol
1275,2016 Ferrari 488 GTB Auto,"$409,000*",,"2,900 km",Automatic,Coupe,8cyl 3.9L Turbo Petrol
1276,2007 Ferrari 599 Fiorano GTB Auto,"$269,000*",,"31,500 km",Automatic,Coupe,12cyl 6.0L Petrol
1277,1978 Ferrari 308 GTS Manual,"$105,000*",,"6,900 km",Manual,Coupe,8cyl 3.0L Petrol
1278,2013 Ferrari FF Auto 4RM,"$289,900*",,"12,898 km",Automatic,Hatch,12cyl 6.3L Petrol
1279,2008 Ferrari 599 Fiorano GTB Auto,"$339,000*",,"10,802 km",Automatic,Coupe,12cyl 6.0L Petrol
1280,2016 Ferrari California T Auto,"$299,900*",,"2,863 km",Automatic,Convertible,8cyl 3.9L Turbo Petrol
1281,2018 Ferrari 488 GTB Auto,"$535,000*",,160 km,Automatic,Coupe,8cyl 3.9L Turbo Petrol
1282,2017 Ferrari California T Auto,"$319,900*",,"8,703 km",Automatic,Convertible,8cyl 3.9L Turbo Petrol
1283,2018 Ferrari 812 Superfast Auto,"$699,900*",,"7,600 km",Automatic,Coupe,12cyl 6.5L Petrol
1284,2011 Ferrari California Auto,"$229,900 ",,"25,440 km",Automatic,Convertible,8cyl 4.3L Petrol
1285,2015 Ferrari 458 Speciale Auto,"$699,900*",,"7,086 km",Automatic,Coupe,8cyl 4.5L Petrol
1286,2012 Ferrari 458 Italia Auto,"$369,800*",,"39,980 km",Automatic,Coupe,8cyl 4.5L Petrol
1287,2013 Ferrari 458 Italia Auto,"$362,990*",,"11,600 km",Automatic,Coupe,8cyl 4.5L Petrol
1288,2012 Ferrari California Auto,"$219,900*",,"26,636 km",Automatic,Convertible,8cyl 4.3L Petrol
1289,2015 Ferrari 458 Speciale Auto,"$699,900*",,"2,559 km",Automatic,Coupe,8cyl 4.5L Petrol
1290,2016 Ferrari F12berlinetta Auto,"$569,900*",,"2,663 km",Automatic,Coupe,12cyl 6.3L Petrol
1291,1997 Ferrari F355 Berlinetta Manual,"$334,900 ",,"60,735 km",Manual,Coupe,8cyl 3.5L Petrol
1292,2016 Ferrari 488 GTB Auto,"$409,000*",,"2,900 km",Automatic,Coupe,8cyl 3.9L Turbo Petrol
1293,2007 Ferrari 599 Fiorano GTB Auto,"$269,000*",,"31,500 km",Automatic,Coupe,12cyl 6.0L Petrol
1294,1978 Ferrari 308 GTS Manual,"$105,000*",,"6,900 km",Manual,Coupe,8cyl 3.0L Petrol
1295,2013 Ferrari FF Auto 4RM,"$289,900*",,"12,898 km",Automatic,Hatch,12cyl 6.3L Petrol
1296,2008 Ferrari 599 Fiorano GTB Auto,"$339,000*",,"10,802 km",Automatic,Coupe,12cyl 6.0L Petrol
1297,2016 Ferrari California T Auto,"$299,900*",,"2,863 km",Automatic,Convertible,8cyl 3.9L Turbo Petrol
1298,2018 Ferrari 488 GTB Auto,"$535,000*",,160 km,Automatic,Coupe,8cyl 3.9L Turbo Petrol
1299,2017 Ferrari California T Auto,"$319,900*",,"8,703 km",Automatic,Convertible,8cyl 3.9L Turbo Petrol
1300,2018 Ferrari 812 Superfast Auto,"$699,900*",,"7,600 km",Automatic,Coupe,12cyl 6.5L Petrol
1301,2011 Ferrari California Auto,"$229,900 ",,"25,440 km",Automatic,Convertible,8cyl 4.3L Petrol
1302,2015 Ferrari 458 Speciale Auto,"$699,900*",,"7,086 km",Automatic,Coupe,8cyl 4.5L Petrol
1303,2012 Ferrari 458 Italia Auto,"$369,800*",,"39,980 km",Automatic,Coupe,8cyl 4.5L Petrol
1304,2013 Ferrari 458 Italia Auto,"$362,990*",,"11,600 km",Automatic,Coupe,8cyl 4.5L Petrol
1305,2012 Ferrari California Auto,"$219,900*",,"26,636 km",Automatic,Convertible,8cyl 4.3L Petrol
1306,2015 Ferrari 458 Speciale Auto,"$699,900*",,"2,559 km",Automatic,Coupe,8cyl 4.5L Petrol
1307,2016 Ferrari F12berlinetta Auto,"$569,900*",,"2,663 km",Automatic,Coupe,12cyl 6.3L Petrol
1308,1997 Ferrari F355 Berlinetta Manual,"$334,900 ",,"60,735 km",Manual,Coupe,8cyl 3.5L Petrol
1309,2016 Ferrari 488 GTB Auto,"$409,000*",,"2,900 km",Automatic,Coupe,8cyl 3.9L Turbo Petrol
1310,2007 Ferrari 599 Fiorano GTB Auto,"$269,000*",,"31,500 km",Automatic,Coupe,12cyl 6.0L Petrol
1311,1978 Ferrari 308 GTS Manual,"$105,000*",,"6,900 km",Manual,Coupe,8cyl 3.0L Petrol
1312,2013 Ferrari FF Auto 4RM,"$289,900*",,"12,898 km",Automatic,Hatch,12cyl 6.3L Petrol
1313,2008 Ferrari 599 Fiorano GTB Auto,"$339,000*",,"10,802 km",Automatic,Coupe,12cyl 6.0L Petrol
1314,2016 Ferrari California T Auto,"$299,900*",,"2,863 km",Automatic,Convertible,8cyl 3.9L Turbo Petrol
1315,2018 Ferrari 488 GTB Auto,"$535,000*",,160 km,Automatic,Coupe,8cyl 3.9L Turbo Petrol
1316,2017 Ferrari California T Auto,"$319,900*",,"8,703 km",Automatic,Convertible,8cyl 3.9L Turbo Petrol
1317,2018 Ferrari 812 Superfast Auto,"$699,900*",,"7,600 km",Automatic,Coupe,12cyl 6.5L Petrol
1318,2011 Ferrari California Auto,"$229,900 ",,"25,440 km",Automatic,Convertible,8cyl 4.3L Petrol
1319,2015 Ferrari 458 Speciale Auto,"$699,900*",,"7,086 km",Automatic,Coupe,8cyl 4.5L Petrol
1320,2012 Ferrari 458 Italia Auto,"$369,800*",,"39,980 km",Automatic,Coupe,8cyl 4.5L Petrol
1321,2013 Ferrari 458 Italia Auto,"$362,990*",,"11,600 km",Automatic,Coupe,8cyl 4.5L Petrol
1322,2012 Ferrari California Auto,"$219,900*",,"26,636 km",Automatic,Convertible,8cyl 4.3L Petrol
1323,2015 Ferrari 458 Speciale Auto,"$699,900*",,"2,559 km",Automatic,Coupe,8cyl 4.5L Petrol
1324,2016 Ferrari F12berlinetta Auto,"$569,900*",,"2,663 km",Automatic,Coupe,12cyl 6.3L Petrol
1325,1997 Ferrari F355 Berlinetta Manual,"$334,900 ",,"60,735 km",Manual,Coupe,8cyl 3.5L Petrol
1326,2016 Ferrari 488 GTB Auto,"$409,000*",,"2,900 km",Automatic,Coupe,8cyl 3.9L Turbo Petrol
1327,2007 Ferrari 599 Fiorano GTB Auto,"$269,000*",,"31,500 km",Automatic,Coupe,12cyl 6.0L Petrol
1328,1978 Ferrari 308 GTS Manual,"$105,000*",,"6,900 km",Manual,Coupe,8cyl 3.0L Petrol
1329,2013 Ferrari FF Auto 4RM,"$289,900*",,"12,898 km",Automatic,Hatch,12cyl 6.3L Petrol
1330,2008 Ferrari 599 Fiorano GTB Auto,"$339,000*",,"10,802 km",Automatic,Coupe,12cyl 6.0L Petrol
1331,2016 Ferrari California T Auto,"$299,900*",,"2,863 km",Automatic,Convertible,8cyl 3.9L Turbo Petrol
1332,2018 Ferrari 488 GTB Auto,"$535,000*",,160 km,Automatic,Coupe,8cyl 3.9L Turbo Petrol
1333,2017 Ferrari California T Auto,"$319,900*",,"8,703 km",Automatic,Convertible,8cyl 3.9L Turbo Petrol
1334,2018 Ferrari 812 Superfast Auto,"$699,900*",,"7,600 km",Automatic,Coupe,12cyl 6.5L Petrol
1335,2011 Ferrari California Auto,"$229,900 ",,"25,440 km",Automatic,Convertible,8cyl 4.3L Petrol
1336,2015 Ferrari 458 Speciale Auto,"$699,900*",,"7,086 km",Automatic,Coupe,8cyl 4.5L Petrol
1337,2012 Ferrari 458 Italia Auto,"$369,800*",,"39,980 km",Automatic,Coupe,8cyl 4.5L Petrol
1338,2013 Ferrari 458 Italia Auto,"$362,990*",,"11,600 km",Automatic,Coupe,8cyl 4.5L Petrol
1339,2012 Ferrari California Auto,"$219,900*",,"26,636 km",Automatic,Convertible,8cyl 4.3L Petrol
1340,2015 Ferrari 458 Speciale Auto,"$699,900*",,"2,559 km",Automatic,Coupe,8cyl 4.5L Petrol
1341,2016 Ferrari F12berlinetta Auto,"$569,900*",,"2,663 km",Automatic,Coupe,12cyl 6.3L Petrol
1342,1997 Ferrari F355 Berlinetta Manual,"$334,900 ",,"60,735 km",Manual,Coupe,8cyl 3.5L Petrol
1343,2016 Ferrari 488 GTB Auto,"$409,000*",,"2,900 km",Automatic,Coupe,8cyl 3.9L Turbo Petrol
1344,2007 Ferrari 599 Fiorano GTB Auto,"$269,000*",,"31,500 km",Automatic,Coupe,12cyl 6.0L Petrol
1345,1978 Ferrari 308 GTS Manual,"$105,000*",,"6,900 km",Manual,Coupe,8cyl 3.0L Petrol
1346,2013 Ferrari FF Auto 4RM,"$289,900*",,"12,898 km",Automatic,Hatch,12cyl 6.3L Petrol
1347,2008 Ferrari 599 Fiorano GTB Auto,"$339,000*",,"10,802 km",Automatic,Coupe,12cyl 6.0L Petrol
1348,2016 Ferrari California T Auto,"$299,900*",,"2,863 km",Automatic,Convertible,8cyl 3.9L Turbo Petrol
1349,2018 Ferrari 488 GTB Auto,"$535,000*",,160 km,Automatic,Coupe,8cyl 3.9L Turbo Petrol
1350,2017 Ferrari California T Auto,"$319,900*",,"8,703 km",Automatic,Convertible,8cyl 3.9L Turbo Petrol
1351,2018 Ferrari 812 Superfast Auto,"$699,900*",,"7,600 km",Automatic,Coupe,12cyl 6.5L Petrol
1352,2011 Ferrari California Auto,"$229,900 ",,"25,440 km",Automatic,Convertible,8cyl 4.3L Petrol
1353,2015 Ferrari 458 Speciale Auto,"$699,900*",,"7,086 km",Automatic,Coupe,8cyl 4.5L Petrol
1354,2012 Ferrari 458 Italia Auto,"$369,800*",,"39,980 km",Automatic,Coupe,8cyl 4.5L Petrol
1355,2013 Ferrari 458 Italia Auto,"$362,990*",,"11,600 km",Automatic,Coupe,8cyl 4.5L Petrol
1356,2012 Ferrari California Auto,"$219,900*",,"26,636 km",Automatic,Convertible,8cyl 4.3L Petrol
1357,2015 Ferrari 458 Speciale Auto,"$699,900*",,"2,559 km",Automatic,Coupe,8cyl 4.5L Petrol
1358,2016 Ferrari F12berlinetta Auto,"$569,900*",,"2,663 km",Automatic,Coupe,12cyl 6.3L Petrol
1359,1997 Ferrari F355 Berlinetta Manual,"$334,900 ",,"60,735 km",Manual,Coupe,8cyl 3.5L Petrol
1360,2016 Ferrari 488 GTB Auto,"$409,000*",,"2,900 km",Automatic,Coupe,8cyl 3.9L Turbo Petrol
